sym,action,amt,cuid0,cuid1,actor,source,destination,note,tuid,external_id,timestamp,ref_tuid
USD,recurring_subscription_payment,36,S3aO7n11fk92DuIP,dWeuG7mTkmw5ugZY,S3aO7n11fk92DuIP,,wS3aO7n1fk92DuIP,,X1CH-PME7,,1498869267662,
USD,create_wallet,0,S3aO7n11fk92DuIP,,S3aO7n11fk92DuIP,wwGjJH92m1dr0Rn1,,,YEDE-UDU6,,1498869270624,
USD,create_wallet,0,S3aO7n11fk92DuIP,,S3aO7n11fk92DuIP,wSkS7CX1av2EHW3L,,,OKA9-PTP6,,1498869271374,
USD,create_wallet,0,S3aO7n11fk92DuIP,,S3aO7n11fk92DuIP,wpEGCyQWfwqLaV8H,,,BMZG-L7M6,,1498869272153,
USD,recurring_deposit,7,S3aO7n11fk92DuIP,,S3aO7n11fk92DuIP,,wwGjJH92m1dr0Rn1,Alce,9FHN-U247,,1498869324740,
USD,init_deposit,7,S3aO7n11fk92DuIP,,S3aO7n11fk92DuIP,,wwGjJH92m1dr0Rn1,Alce,Q6J2-DA7D,5e88c536-4cfdff3c0,1498869324758,9FHN-U247
USD,delayed_create_chore,2,CMuPL61u0T6hdXTK,lInGP6grCwrb9o78,,wn57XOr48EU8axay,wn57XOr48EU8axay,,9WVZ-U77R,,1498869333452,
USD,card_auth,99.4,wrsnXUUHEkhzEpqb,,wrsnXUUHEkhzEpqb,wLkxUVdGZ7zmCy05,,STEAMGAMES      WAUS,7NFU-XDIL,V.47,1498869339930,
USD,card_pending,99.4,wrsnXUUHEkhzEpqb,,wrsnXUUHEkhzEpqb,wLkxUVdGZ7zmCy05,,STEAMG595229,7NFU-XDIL,V.47,1498869345830,
USD,transfer,15,Jej8h4c0eQ6MDeVC,,Jej8h4c0eQ6MDeVC,wJej8h4ceQ6MDeVC,wDEcnOOva5ENCqtl,Ryloes,CTDB-TKC8,,1498869444876,
USD,card_auth,27.8,wrsnXUUHEkhzEpqb,,wrsnXUUHEkhzEpqb,wLkxUVdGZ7zmCy05,,STEAMGAMESE     WAUS,5ZCB-4ATM,V.32,1498869752987,
USD,card_pending,27.8,wrsnXUUHEkhzEpqb,,wrsnXUUHEkhzEpqb,wLkxUVdGZ7zmCy05,,STEA.COM,5ZCB-4ATM,V.32,1498869757087,
USD,init_deposit,25,pM1oshORtme3Un3f,,pM1oshORtme3Un3f,,wuFLh8qUDaSBC978,Alce,V36F-53OI,717463b0-4cfdff3c0,1498869965261,
USD,pay_from_bank,0,lgnWbj3RbpE63Y9C,CEx5NOfjmQoC5sm3,lgnWbj3RbpE63Y9C,wlgnWbj3bpE63Y9C,wCEx5NOfmQoC5sm3,,UEAO-GJQR,54b6c8fa-4cfdff3c0,1498870086669,
USD,init_deposit,0,lgnWbj3RbpE63Y9C,,lgnWbj3RbpE63Y9C,,wlgnWbj3bpE63Y9C,,UEAO-GJQR,54b6c8fa-4cfdff3c0,1498870086670,
USD,card_auth,18.11,1JgszarN5Twaf1FN,,1JgszarN5Twaf1FN,woc1JyaTsydCVM10,,NANDO S TAOD    FLUS,YBJ4-QIXC,V.33,1498870119248,
USD,card_pending,18.11,1JgszarN5Twaf1FN,,1JgszarN5Twaf1FN,woc1JyaTsydCVM10,,NANDERIA,YBJ4-QIXC,V.33,1498870123142,
USD,transfer,15,CXG2VwuzH2UVIGLI,,CXG2VwuzH2UVIGLI,wCXG2VwuH2UVIGLI,wdAt7xFKw620wO7N,,UOQC-H9OY,,1498870227026,
USD,init_deposit,50,CXG2VwuzH2UVIGLI,,CXG2VwuzH2UVIGLI,,wCXG2VwuH2UVIGLI,,CFP8-IF84,131bd25d-4cfdff3c0,1498870248546,
USD,transfer,25,b4i6boyRk6x50cFW,,b4i6boyRk6x50cFW,wb4i6boyk6x50cFW,wy4aXGRoQZms2gMh,Alce,NOSN-BGIF,,1498870366631,
USD,transfer,2,8x8kQ2sfwlpyJrwn,,8x8kQ2sfwlpyJrwn,w8x8kQ2swlpyJrwn,w8ZvMkomhAxUBckw,Th,J7IV-NM6S,,1498870388044,
USD,card_auth,16.2,wkScYSTo95kDTi6M,,wkScYSTo95kDTi6M,w9IbUseW10rNQTyl,,MCDONALD'S      AZUS,LEFI-FLJ6,V.34,1498870438226,
USD,card_pending,16.2,wkScYSTo95kDTi6M,,wkScYSTo95kDTi6M,w9IbUseW10rNQTyl,,MCDO3570,LEFI-FLJ6,V.34,1498870445455,
USD,card_auth,5.7,CvYyLk9VVFAg49D6,,CvYyLk9VVFAg49D6,wLsxtaCfF2ET1zhA,,LIRR TVM        NYUS,XAL8-PF54,V.35,1498870489918,
USD,card_declined,0,CvYyLk9VVFAg49D6,,CvYyLk9VVFAg49D6,wLsxtaCfF2ET1zhA,,,XAL8-PF54,V.35,1498870495628,
USD,card_auth,5.7,CvYyLk9VVFAg49D6,,CvYyLk9VVFAg49D6,wLsxtaCfF2ET1zhA,,LIRR TVM        NYUS,QW6K-8KI9,V.48,1498870501819,
USD,card_declined,0,CvYyLk9VVFAg49D6,,CvYyLk9VVFAg49D6,wLsxtaCfF2ET1zhA,,,QW6K-8KI9,V.48,1498870506044,
USD,transfer,15,7FidgbB6kBdvXLaN,,7FidgbB6kBdvXLaN,w8skdDnao3lqokt9,we8nZyubs0u1JXsa,,37ZC-419Y,,1498870576386,
USD,transfer,5,7FidgbB6kBdvXLaN,,7FidgbB6kBdvXLaN,we8nZyubs0u1JXsa,whmdth3rLcghKwO7,,TG63-R8QK,,1498870633614,
USD,card_auth,79.1,6dR7SQtBwQ1wqKv8,,6dR7SQtBwQ1wqKv8,wq2jEmO0marr9Dxx,,COSTCO WHSTA    CAUS,DTB7-EC45,V.49,1498870647745,
USD,card_pending,79.1,6dR7SQtBwQ1wqKv8,,6dR7SQtBwQ1wqKv8,wq2jEmO0marr9Dxx,,COST0638,DTB7-EC45,V.49,1498870651641,
USD,card_auth,5.7,CvYyLk9VVFAg49D6,,CvYyLk9VVFAg49D6,wLsxtaCfF2ET1zhA,,LIRR TVM        NYUS,VDCF-CJEL,V.36,1498870694228,
USD,card_auth,64.8,eWnjFVXnXVnYqlEA,,eWnjFVXnXVnYqlEA,wSxCPgZ9MmeZT4Dh,,NIKKI OF LBEACH CAUS,X8ME-SWP7,V.37,1498870696826,
USD,card_declined,0,CvYyLk9VVFAg49D6,,CvYyLk9VVFAg49D6,wLsxtaCfF2ET1zhA,,,VDCF-CJEL,V.36,1498870697253,
USD,card_pending,64.8,eWnjFVXnXVnYqlEA,,eWnjFVXnXVnYqlEA,wSxCPgZ9MmeZT4Dh,,NIKKGUNA,X8ME-SWP7,V.37,1498870702463,
USD,donation,10,7FidgbB6kBdvXLaN,,7FidgbB6kBdvXLaN,whmdth3rLcghKwO7,,,2ND3-TP2L,py_1AaZg5RFF1S,1498870768084,
USD,card_auth,0,HNPn048fsXuSW3CK,,HNPn048fsXuSW3CK,w9XjfB25N5akhGW2,,APL* ITUNE-7753 CAUS,5IQE-W6YQ,V.50,1498870972283,
USD,card_auth,54.2,YImYkccPjdo0RuDr,,YImYkccPjdo0RuDr,wvx6S1bVXyc9l2Mp,,7-ELEVEN  ACH     CA,ZAQD-DYND,D.76,1498871098043,
USD,card_pending,54.2,YImYkccPjdo0RuDr,,YImYkccPjdo0RuDr,wvx6S1bVXyc9l2Mp,,7-EN,ZAQD-DYND,D.76,1498871104173,
USD,request,10,HNPn048fsXuSW3CK,WUIUHakZBiYIuqpU,HNPn048fsXuSW3CK,w9XjfB25N5akhGW2,wWUIUHakBiYIuqpU,moes,OCVA-TIPR,,1498871108578,
USD,card_auth,57.3,RDcsZA11l5BhcaNr,,RDcsZA11l5BhcaNr,wAs4cRwTndzjL5vC,,CHICK-FIL-A     MDUS,55FB-JPCO,V.51,1498871164652,
USD,card_pending,57.3,RDcsZA11l5BhcaNr,,RDcsZA11l5BhcaNr,wAs4cRwTndzjL5vC,,CHICK00041,55FB-JPCO,V.51,1498871169762,
USD,card_auth,99.99,DdAqs4ajxeUkS79a,,DdAqs4ajxeUkS79a,wd81fAcKg20Apq6L,,PLAYSTATIO-7669 CAUS,VC37-3YVE,V.38,1498871410495,
USD,card_pending,99.99,DdAqs4ajxeUkS79a,,DdAqs4ajxeUkS79a,wd81fAcKg20Apq6L,,PLAYSTWORK,VC37-3YVE,V.38,1498871415384,
USD,card_auth,42.6,IyGEoENzDPiKaCEW,,IyGEoENzDPiKaCEW,wRMp0Xuot6Mkn02X,,TARGET T-         IN,K5HO-P2EK,D.61,1498871437806,
USD,card_pending,42.6,IyGEoENzDPiKaCEW,,IyGEoENzDPiKaCEW,wRMp0Xuot6Mkn02X,,TARGETalumet,K5HO-P2EK,D.61,1498871441010,
USD,override_muid,0,6JLtV8KriqFcbwps,,6JLtV8KriqFcbwps,wfJkWnc7Wesqtcv6,,,OJFT-G2QO,m6Icg8FLrBi1dGDU,1498871518394,
USD,init_withdraw,9,jYoLkeBBdGE408uc,,jYoLkeBBdGE408uc,w41sy1zSZWFrYqVH,,,B725-91VV,bfc2b051-4cfdff3c0,1498871525874,
USD,transfer,1,jr4d3TmqwF9ucju8,,jr4d3TmqwF9ucju8,wjr4d3TmwF9ucju8,wj2hmgbEBhtxuRlF,familution,91UR-867M,,1498871780808,
USD,transfer,5.1,jr4d3TmqwF9ucju8,,jr4d3TmqwF9ucju8,wjr4d3TmwF9ucju8,wj2hmgbEBhtxuRlF,Cleoom,IDH7-5HZC,,1498871813314,
USD,transfer,60,jr4d3TmqwF9ucju8,,jr4d3TmqwF9ucju8,wjr4d3TmwF9ucju8,wU2FCc2XnVH5cnzs,Cash money,EHDT-1SJO,,1498871942230,
USD,transfer,5.1,jr4d3TmqwF9ucju8,,jr4d3TmqwF9ucju8,wjr4d3TmwF9ucju8,wU2FCc2XnVH5cnzs,Cleoom,QCZI-5TXM,,1498871985710,
USD,transfer,1,jr4d3TmqwF9ucju8,,jr4d3TmqwF9ucju8,wjr4d3TmwF9ucju8,wU2FCc2XnVH5cnzs,familution,R7SX-H8WB,,1498872005023,
USD,transfer,1,jr4d3TmqwF9ucju8,,jr4d3TmqwF9ucju8,wjr4d3TmwF9ucju8,wU2FCc2XnVH5cnzs,Familution,P2QJ-9WTA,,1498872028127,
USD,donation_goal,10,qh3V3NIHEo6WYzdg,,qh3V3NIHEo6WYzdg,wYhprm1GYuV4RBdS,,,AKXB-JGSH,,1498872103785,
USD,card_auth,7.13,cI4hzPJBJrwn9QN9,,cI4hzPJBJrwn9QN9,w2bQSqeItjW59Y55,,M M WORLD AS    NVUS,C62S-HB3Q,V.39,1498872112612,
USD,card_pending,7.13,cI4hzPJBJrwn9QN9,,cI4hzPJBJrwn9QN9,w2bQSqeItjW59Y55,,M M 0011,C62S-HB3Q,V.39,1498872119500,
USD,transfer,1,oznctM9zfLqlTBKH,,oznctM9zfLqlTBKH,wUUGTUhDz05rj2ba,woznctM9fLqlTBKH,,YZUQ-DUUL,,1498872252075,
USD,card_auth,2.1,HNPn048fsXuSW3CK,,HNPn048fsXuSW3CK,w9XjfB25N5akhGW2,,APL* ITUNE-7753 CAUS,UPBN-8CGT,V.52,1498872271354,
USD,card_pending,2.1,HNPn048fsXuSW3CK,,HNPn048fsXuSW3CK,w9XjfB25N5akhGW2,,APL* /BILL,UPBN-8CGT,V.52,1498872274779,
USD,recurring_subscription_payment,36,WUIUHakZBiYIuqpU,lsXlEDdRhdwH2YMo,WUIUHakZBiYIuqpU,,wWUIUHakBiYIuqpU,,M4C8-WWG4,,1498872492926,
USD,create_wallet,0,WUIUHakZBiYIuqpU,,WUIUHakZBiYIuqpU,wOK2SiqmpF6KAX92,,,IWV6-SLT3,,1498872505678,
USD,create_wallet,0,WUIUHakZBiYIuqpU,,WUIUHakZBiYIuqpU,wWFu8BPzvYP8F7Ot,,,JEND-OQA8,,1498872506457,
USD,create_wallet,0,WUIUHakZBiYIuqpU,,WUIUHakZBiYIuqpU,wJFFpjbd9ZyAxTrC,,,B1T6-7AZO,,1498872507174,
USD,transfer,70,bxLXqPZWpxB61ykw,,bxLXqPZWpxB61ykw,wFgarNhGpK7w1Ra4,wbxLXqPZpxB61ykw,GameStopm amazon,2JDP-49RE,,1498872546072,
USD,card_auth,10,gIneBy0pCrFjKCFb,,gIneBy0pCrFjKCFb,wmAXntV5EOGXhVeO,,PAPA MURPHON    MNUS,MO6Z-WJ9I,V.40,1498872614062,
USD,card_pending,10,gIneBy0pCrFjKCFb,,gIneBy0pCrFjKCFb,wmAXntV5EOGXhVeO,,PAPA MN058,MO6Z-WJ9I,V.40,1498872616048,
USD,pay,0,y48b0lLXilnRU8ma,D6qrb7gpyuj3OEnq,y48b0lLXilnRU8ma,wy48b0lLilnRU8ma,wCpwIuwDVjdpSbih,Rent  of 2,F6BG-MDU7,fddf86ca-4cfdff3c0,1498873009502,
USD,card_auth,0,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PP* EBAY  733   CAUS,MROI-X21K,V.53,1498873240088,
USD,card_auth,99.5,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PAYPAL *28733   CAUS,SI6Y-YC1W,V.54,1498873243096,
USD,card_pending,99.5,Ie5PhAUrIocvTbmn,,Ie5PhAUrIocvTbmn,wtLqXRFOv0OGJY5F,,PAYP4801,SI6Y-YC1W,V.54,1498873247392,
USD,card_auth,74.6,2CyOzOCXEuQdZbhc,,2CyOzOCXEuQdZbhc,wbWJcMpepiXXtMin,,KRISPY KRE      ALUS,7JZG-MTEU,V.61,1498873438535,
USD,card_pending,74.6,2CyOzOCXEuQdZbhc,,2CyOzOCXEuQdZbhc,wbWJcMpepiXXtMin,,KRIS#299,7JZG-MTEU,V.61,1498873442973,
USD,card_auth,4,x9mlW3PBLjCGINck,,x9mlW3PBLjCGINck,wysUl1OI1bq1YYWg,,REDBOX *DV-2693 ILUS,RY77-SMBL,V.55,1498873557853,
USD,card_pending,4,x9mlW3PBLjCGINck,,x9mlW3PBLjCGINck,wysUl1OI1bq1YYWg,,REDBOENTAL,RY77-SMBL,V.55,1498873563434,
USD,card_auth,7.41,b0Hea2zGbq70PVCI,,b0Hea2zGbq70PVCI,wwLnopSpQMHr4OXA,,JUMBO CHIN      NYUS,1EZD-8DZE,V.62,1498873571839,
USD,card_pending,7.41,b0Hea2zGbq70PVCI,,b0Hea2zGbq70PVCI,wwLnopSpQMHr4OXA,,JUMBO JAPANE,1EZD-8DZE,V.62,1498873573799,
USD,card_auth,5.8,3RE7ewZAJ1u8l9K1,,3RE7ewZAJ1u8l9K1,wIe9ecgHoTzpaTyk,,KRISPY KRE      ALUS,DWHU-E7OU,V.63,1498873586541,
USD,card_pending,5.8,3RE7ewZAJ1u8l9K1,,3RE7ewZAJ1u8l9K1,wIe9ecgHoTzpaTyk,,KRIS#299,DWHU-E7OU,V.63,1498873589379,
USD,card_auth,4.5,JJM5RDZIcIAU6zpi,,JJM5RDZIcIAU6zpi,whIgyPkAhJZ2H4Hu,,MICROSOFT INFO  WAUS,Z8MT-JCYO,V.64,1498873688130,
USD,card_pending,4.5,JJM5RDZIcIAU6zpi,,JJM5RDZIcIAU6zpi,whIgyPkAhJZ2H4Hu,,MICRO STOR,Z8MT-JCYO,V.64,1498873689808,
